action step s r x y
[step] 457 2 0 89 71
[step] 458 2 0 90 71
[step] 459 2 0 90 70
[step] 460 2 0 91 70
[step] 461 2 0 91 71
[step] 462 2 0 92 71
[step] 463 2 0 93 71
[step] 464 2 0 94 71
[step] 465 2 0 94 72
[step] 466 2 0 94 71
[step] 467 2 0 95 71
[step] 468 2 0 96 71
[step] 469 2 0 97 71
[step] 470 2 0 98 71
[step] 471 2 0 99 71
[step] 472 2 0 99 70
[step] 473 2 0 100 70
[return] 474 3 0 100 70
[return] 475 3 0 100 70
[return] 476 3 0 100 70
[return] 477 3 0 100 70
[return] 478 3 0 100 70
[return] 479 3 0 100 70
[return] 480 3 0 100 70
[return] 481 3 0 99 70
[return] 482 1 0 98 70
[step] 483 1 0 97 70
[step] 484 1 0 96 70
[step] 485 1 0 96 69
[step] 486 1 0 96 70
[step] 487 1 0 95 70
[step] 488 1 0 94 70
[step] 489 1 0 94 71
[step] 490 1 0 93 71
[step] 491 1 0 92 71
[step] 492 1 0 91 71
[step] 493 1 0 90 71
[step] 494 1 0 90 72
[step] 495 1 0 89 72
[step] 496 1 0 88 72
[step] 497 2 0 87 72
[step] 498 2 0 88 72
[step] 499 2 0 89 72
[step] 500 1 0 90 72
[step] 501 1 0 90 73
[step] 502 1 0 89 73
[step] 503 2 0 89 72
[step] 504 2 0 90 72
[step] 505 2 0 91 72
[step] 506 2 0 92 72
[step] 507 1 0 93 72
[step] 508 1 0 93 73
[step] 509 1 0 93 74
[step] 510 1 0 92 74
[step] 511 1 0 91 74
[step] 512 1 0 90 74
[step] 513 1 0 89 74
[step] 514 1 0 89 75
[step] 515 1 0 88 75
[step] 516 2 0 87 75
[step] 517 2 0 87 74
[step] 518 2 0 87 75
[step] 519 2 0 87 74
[step] 520 2 0 87 73
[step] 521 1 0 87 72
[step] 522 1 0 86 72
[step] 523 1 0 85 72
[step] 524 1 0 85 71
[step] 525 2 0 84 71
[step] 526 2 0 85 71
[step] 527 2 0 86 71
[step] 528 2 0 87 71
[step] 529 2 0 88 71
[step] 530 2 0 89 71
[step] 531 2 0 90 71
[step] 532 2 0 91 71
[step] 533 1 0 91 72
[step] 534 1 0 90 72
[step] 535 1 0 89 72
[step] 536 1 0 89 71
[step] 537 1 0 88 71
[step] 538 1 0 87 71
[step] 539 1 0 87 70
[step] 540 1 0 87 71
[step] 541 1 0 87 70
[step] 542 1 0 86 70
[step] 543 1 0 86 69
[step] 544 1 0 85 69
[step] 545 1 0 85 70
[step] 546 1 0 84 70
[step] 547 1 0 84 71
[step] 548 1 0 83 71
[step] 549 1 0 82 71
[step] 550 1 0 82 70
[step] 551 2 0 81 70
[step] 552 1 0 82 70
[step] 553 1 0 81 70
[step] 554 1 0 80 70
[step] 555 1 0 79 70
[step] 556 1 0 78 70
[step] 557 1 0 78 69
[step] 558 2 0 77 69
[step] 559 2 0 78 69
[step] 560 2 0 79 69
[step] 561 1 0 80 69
[step] 562 1 0 79 69
[step] 563 1 0 78 69
[step] 564 1 0 77 69
[step] 565 1 0 76 69
[step] 566 1 0 75 69
[step] 567 1 0 75 70
[step] 568 2 0 74 70
[step] 569 2 0 75 70
[step] 570 2 0 76 70
[step] 571 2 0 77 70
[step] 572 2 0 78 70
[step] 573 2 0 79 70
[step] 574 2 0 80 70
[step] 575 2 0 81 70
[step] 576 2 0 82 70
[step] 577 1 0 83 70
[step] 578 1 0 83 69
[step] 579 1 0 82 69
[step] 580 1 0 81 69
[step] 581 1 0 80 69
[step] 582 1 0 79 69
[step] 583 1 0 78 69
[step] 584 1 0 78 68
[step] 585 1 0 77 68
[step] 586 1 0 76 68
[step] 587 1 0 75 68
[step] 588 2 0 74 68
[step] 589 2 0 75 68
[step] 590 2 0 75 67
[step] 591 2 0 75 66
[step] 592 2 0 75 65
[step] 593 1 0 75 64
[step] 594 1 0 74 64
[step] 595 2 0 74 63
[step] 596 2 0 75 63
[step] 597 1 0 76 63
[step] 598 2 0 76 62
[step] 599 1 0 76 63
[step] 600 1 0 75 63
[step] 601 1 0 74 63
[step] 602 1 0 73 63
[step] 603 1 0 72 63
[step] 604 1 0 71 63
[step] 605 1 0 70 63
[step] 606 1 0 69 63
[step] 607 1 0 68 63
[step] 608 1 0 67 63
[step] 609 1 0 66 63
[step] 610 1 0 65 63
[step] 611 1 0 65 64
[step] 612 1 0 64 64
[step] 613 1 0 63 64
[step] 614 1 0 62 64
[step] 615 1 0 62 65
[step] 616 1 0 61 65
[step] 617 1 0 61 64
[step] 618 1 0 61 63
[step] 619 1 0 61 62
[step] 620 1 0 60 62
[step] 621 1 0 59 62
[step] 622 1 0 58 62
[step] 623 1 0 58 61
[step] 624 1 0 58 60
[step] 625 1 0 57 60
[step] 626 1 0 56 60
[step] 627 1 0 55 60
[step] 628 1 0 54 60
[step] 629 1 0 53 60
[step] 630 1 0 53 61
[step] 631 1 0 52 61
[step] 632 1 0 51 61
[step] 633 1 0 50 61
[step] 634 1 0 50 62
[step] 635 1 0 49 62
[step] 636 1 0 49 61
[step] 637 1 0 49 62
[step] 638 1 0 48 62
[step] 639 1 0 47 62
[step] 640 2 0 46 62
[step] 641 2 0 47 62
[step] 642 2 0 48 62
[step] 643 2 0 49 62
[step] 644 2 0 50 62
[step] 645 2 0 51 62
[step] 646 2 0 52 62
[step] 647 2 0 53 62
[step] 648 2 0 54 62
[step] 649 2 0 54 61
[step] 650 2 0 55 61
[step] 651 2 0 56 61
[step] 652 2 0 57 61
[step] 653 1 0 58 61
[step] 654 1 0 58 62
[step] 655 1 0 58 63
[step] 656 1 0 57 63
[step] 657 1 0 56 63
[step] 658 1 0 56 62
[step] 659 1 0 55 62
[step] 660 1 0 55 63
[step] 661 1 0 55 62
[step] 662 1 0 55 63
[step] 663 1 0 55 62
[step] 664 1 0 54 62
[step] 665 1 0 53 62
[step] 666 1 0 52 62
[step] 667 1 0 52 63
[step] 668 1 0 51 63
[step] 669 1 0 51 62
[step] 670 1 0 50 62
[step] 671 2 0 49 62
[step] 672 1 0 50 62
[step] 673 1 0 49 62
[step] 674 1 0 48 62
[step] 675 1 0 48 63
[step] 676 1 0 47 63
[step] 677 1 0 46 63
[step] 678 1 0 45 63
[step] 679 1 0 44 63
[step] 680 1 0 44 62
[step] 681 1 0 44 63
[step] 682 1 0 43 63
[step] 683 1 0 42 63
[step] 684 2 0 41 63
[step] 685 2 0 42 63
[step] 686 2 0 42 62
[step] 687 2 0 43 62
[step] 688 2 0 43 61
[step] 689 2 0 44 61
[step] 690 2 0 44 62
[step] 691 2 0 44 61
[step] 692 2 0 44 62
[step] 693 2 0 45 62
[step] 694 2 0 46 62
[step] 695 2 0 47 62
[step] 696 2 0 48 62
[step] 697 1 0 49 62
[step] 698 1 0 48 62
[step] 699 1 0 48 61
[step] 700 1 0 48 60
[step] 701 1 0 47 60
[step] 702 1 0 46 60
[step] 703 1 0 45 60
[step] 704 1 0 45 61
[step] 705 2 0 44 61
[step] 706 2 0 44 60
[step] 707 2 0 45 60
[step] 708 1 0 46 60
[step] 709 1 0 45 60
[step] 710 2 0 44 60
[step] 711 2 0 45 60
[step] 712 2 0 46 60
[step] 713 2 0 47 60
[step] 714 2 0 47 61
[step] 715 2 0 48 61
[step] 716 2 0 48 60
[step] 717 2 0 49 60
[step] 718 2 0 50 60
[step] 719 2 0 51 60
[step] 720 2 0 52 60
[step] 721 1 0 53 60
[step] 722 1 0 53 59
[step] 723 1 0 52 59
[step] 724 1 0 51 59
[step] 725 1 0 50 59
[step] 726 1 0 50 60
[step] 727 1 0 49 60
[step] 728 1 0 48 60
[step] 729 2 0 48 59
[step] 730 2 0 49 59
[step] 731 2 0 50 59
[step] 732 2 0 51 59
[step] 733 2 0 52 59
[step] 734 2 0 53 59
[step] 735 2 0 54 59
[step] 736 2 0 55 59
[step] 737 2 0 56 59
[step] 738 2 0 57 59
[step] 739 1 0 58 59
[step] 740 1 0 57 59
[step] 741 1 0 57 58
[step] 742 1 0 56 58
[step] 743 1 0 55 58
[step] 744 1 0 54 58
[step] 745 2 0 53 58
[step] 746 2 0 53 59
[step] 747 2 0 54 59
[step] 748 2 0 55 59
[step] 749 2 0 56 59
[step] 750 2 0 57 59
[step] 751 2 0 58 59
[step] 752 2 0 58 60
[step] 753 1 0 59 60
[step] 754 1 0 59 59
[step] 755 1 0 59 58
[step] 756 1 0 58 58
[step] 757 2 0 57 58
[step] 758 2 0 57 59
[step] 759 2 0 58 59
[step] 760 2 0 59 59
[step] 761 2 0 60 59
[step] 762 2 0 61 59
[step] 763 2 0 62 59
[step] 764 2 0 63 59
[step] 765 2 0 64 59
[step] 766 2 0 65 59
[step] 767 2 0 66 59
[step] 768 1 0 67 59
[step] 769 1 0 66 59
[step] 770 1 0 66 60
[step] 771 1 0 65 60
[step] 772 2 0 64 60
[step] 773 2 0 64 61
[step] 774 2 0 65 61
[step] 775 2 0 66 61
[step] 776 2 0 67 61
[step] 777 2 0 68 61
[step] 778 2 0 69 61
[step] 779 2 0 70 61
[step] 780 2 0 71 61
[step] 781 2 0 72 61
[step] 782 2 0 73 61
[step] 783 1 0 74 61
[step] 784 1 0 73 61
[step] 785 1 0 73 62
[step] 786 1 0 72 62
[step] 787 1 0 72 61
[step] 788 1 0 71 61
[step] 789 2 0 70 61
[step] 790 2 0 70 60
[step] 791 2 0 71 60
[step] 792 2 0 72 60
[step] 793 1 0 73 60
[step] 794 1 0 72 60
[step] 795 1 0 71 60
[step] 796 1 0 71 59
[step] 797 2 0 71 58
[step] 798 2 0 72 58
[step] 799 2 0 73 58
[step] 800 2 0 74 58
[step] 801 2 0 74 57
[step] 802 2 0 75 57
[step] 803 2 0 75 56
[step] 804 2 0 76 56
[step] 805 2 0 77 56
[step] 806 2 0 78 56
[step] 807 2 0 79 56
[step] 808 2 0 80 56
[step] 809 2 0 81 56
[step] 810 2 0 82 56
[step] 811 2 0 82 57
[step] 812 2 0 83 57
[step] 813 2 0 84 57
[step] 814 2 0 85 57
[step] 815 2 0 86 57
[step] 816 1 0 86 56
[step] 817 1 0 85 56
[step] 818 1 0 85 55
[step] 819 1 0 85 56
[step] 820 1 0 84 56
[step] 821 1 0 84 55
[step] 822 1 0 83 55
[step] 823 1 0 83 56
[step] 824 1 0 82 56
[step] 825 1 0 81 56
[step] 826 1 0 80 56
[step] 827 1 0 79 56
[step] 828 2 0 78 56
[step] 829 2 0 79 56
[step] 830 2 0 79 55
[step] 831 2 0 79 56
[step] 832 2 0 79 55
[step] 833 2 0 80 55
[step] 834 2 0 81 55
[step] 835 2 0 81 56
[step] 836 2 0 81 57
[step] 837 2 0 82 57
[step] 838 2 0 83 57
[step] 839 2 0 83 58
[step] 840 1 0 84 58
[step] 841 1 0 83 58
[step] 842 1 0 83 57
[step] 843 1 0 83 56
[step] 844 1 0 82 56
[step] 845 1 0 82 57
[step] 846 1 0 81 57
[step] 847 1 0 81 58
[step] 848 1 0 81 57
[step] 849 1 0 80 57
[step] 850 1 0 80 58
[step] 851 1 0 80 57
[step] 852 1 0 79 57
[step] 853 2 0 79 56
[step] 854 2 0 80 56
[step] 855 2 0 80 57
[step] 856 2 0 80 58
[step] 857 2 0 81 58
[step] 858 2 0 82 58
[step] 859 2 0 82 57
[step] 860 1 0 83 57
[step] 861 1 0 82 57
[step] 862 1 0 81 57
[step] 863 1 0 81 58
[step] 864 1 0 80 58
[step] 865 1 0 79 58
[step] 866 1 0 78 58
[step] 867 1 0 77 58
[step] 868 2 0 76 58
[step] 869 2 0 77 58
[step] 870 2 0 78 58
